"newcase.date","new.cases","mortalities","newcase.rate","mortality.rate"
2020-09-19,7313,231,0.0693677936355112,0.0266721874299122
2020-09-20,7124,183,0.0716321282765079,0.0255091786144982
2020-09-21,8531,248,0.0736807979419901,0.0245714285714286
2020-09-22,8967,219,0.0757053731082251,0.0239142210751044
2020-09-23,10176,208,0.0763658814687262,0.0236489695127742
2020-09-24,10315,211,0.0761793310685719,0.0241396857706253
2020-09-25,10340,201,0.0799559841888016,0.022694475247224
2020-09-26,7721,224,0.0830777053308143,0.0217987246206846
2020-09-27,6834,207,0.0848825322924337,0.021387141808552
2020-09-28,11478,224,0.0884253948645548,0.0209277507518745
2020-09-29,11351,212,0.0897624881514548,0.0210376376486057
2020-09-30,11442,207,0.0931332784734197,0.0198877920978114
2020-10-01,12987,235,0.0952377717999549,0.0193856248135998
2020-10-02,11199,227,0.0965208389942653,0.0191445923909554
2020-10-03,10283,191,0.0971152112133027,0.0193891272331434
2020-10-04,8379,199,0.0978713392483254,0.0193335288791399
2020-10-05,12240,220,0.0980126582556095,0.0191029050736498
2020-10-06,11555,235,0.100177579237818,0.0186680057749043
2020-10-07,11770,209,0.103116801760355,0.0187820426542024
2020-10-08,12782,213,0.106263026227984,0.0186790161670516
2020-10-09,12646,220,0.107835473782801,0.0190081379326589
2020-10-10,12355,239,0.113505805273582,0.0184731830024257
2020-10-11,10650,233,0.119030491071786,0.0180583025195632
2020-10-12,13153,265,0.128410624166745,0.0174882194631477
2020-10-13,15692,266,0.137357674247161,0.0171201036785215
2020-10-14,15754,244,0.142473697945503,0.0167531747402485
2020-10-15,19703,281,0.147989598075566,0.0162021181305654
2020-10-16,19176,295,0.15892120014135,0.0153166397017156
2020-10-17,15881,259,0.169513949768567,0.0148900273964122
2020-10-18,14515,235,0.181231420769441,0.01468362535654
2020-10-19,21042,285,0.188956029187779,0.014835732198175
2020-10-20,23143,325,0.196067744807498,0.0152680597096275
2020-10-21,23972,338,0.202608465308257,0.0153245530891038
2020-10-22,24630,375,0.207886726733778,0.0155993378558214
2020-10-23,23594,424,0.215497510003479,0.0161588384809935
2020-10-24,19973,330,0.221563356534432,0.0165706230059605
2020-10-25,17691,326,0.228557931475302,0.0167524838639495
2020-10-26,25548,444,0.232931449959965,0.017200956937799
2020-10-27,26324,443,0.238176424874378,0.0171502712903987
2020-10-28,27708,430,0.241723203322601,0.0173457086342303
2020-10-29,26362,479,0.246093467802004,0.0172779805528722
2020-10-30,25954,456,0.248890165833161,0.017407967492814
2020-10-31,21291,386,0.251895053879463,0.0179286997374603
2020-11-01,19692,349,0.254823389892957,0.0185406629796139
2020-11-02,25923,473,0.260670088471619,0.0185171523423091
2020-11-03,26758,541,0.265959492576203,0.0182124505096454
2020-11-04,27962,541,0.269439841974476,0.0183168399818955
2020-11-05,28635,517,0.269619512994228,0.0184019397703555
2020-11-06,27804,436,0.273811251733418,0.0182609571337458
2020-11-07,22187,421,0.278396680406731,0.0180182684449584
2020-11-08,18484,342,0.28185167640608,0.0182807338940239
2020-11-09,26912,466,0.284061814625748,0.018873179807703
2020-11-10,27889,518,0.287817818474471,0.0196456664461579
2020-11-11,28224,593,0.290445047571963,0.0204148556564657
2020-11-12,28014,612,0.290931595089904,0.0210482180293501
2020-11-13,28177,582,0.291603167040025,0.0221287346469215
2020-11-14,22218,560,0.294160213595948,0.0229938358875756
2020-11-15,17441,434,0.297840859548983,0.0236463001791558
2020-11-16,25363,625,0.303465227215239,0.0241640799968567
2020-11-17,27393,660,0.308538548569581,0.0246421027927716
2020-11-18,28335,711,0.310003842627226,0.024695378741086
2020-11-19,29230,733,0.312139711795747,0.0249893232034885
2020-11-20,28982,687,0.317017892309132,0.0248983085935533
2020-11-21,21346,548,0.319587378967639,0.02511981212111
2020-11-22,17307,483,0.324053878942882,0.0251600918177787
2020-11-23,26134,628,0.327638936568755,0.0257262764688674
2020-11-24,26653,681,0.329604051629885,0.0265821780382466
2020-11-25,28527,723,0.337593292251171,0.0264603792989732
2020-11-26,28807,823,0.342993850207609,0.0264411743497867
2020-11-27,27660,804,0.350136969412091,0.0265413691032935
2020-11-28,23821,592,0.361137578102017,0.0267321596472457
2020-11-29,18685,516,0.37172248510288,0.0271520675500849
2020-11-30,27601,685,0.385057335690972,0.0273154810319298
2020-12-01,29957,804,0.40109755594792,0.0272622987432238
2020-12-02,31300,876,0.413837234943645,0.0272652573392097
2020-12-03,32772,962,0.428938785978526,0.0267065769493861
2020-12-04,32876,936,0.451104230817546,0.0264943744500814
2020-12-05,27614,696,0.467365451703121,0.02687841373296
2020-12-06,24009,546,0.489665723955677,0.0266002477343005
2020-12-07,35140,841,0.51505031953362,0.0267631087475038
2020-12-08,34159,999,0.535232732388725,0.0270784450504154
2020-12-09,37864,990,0.556024557167018,0.0273849143187879
2020-12-10,40187,1197,0.568784693612355,0.0278499479555122
2020-12-11,37562,1136,0.586814392303418,0.0280086941711746
2020-12-12,32964,915,0.613361104448338,0.0280136226833518
2020-12-13,26146,718,0.642493680586675,0.0283014487369985
2020-12-14,37720,952,0.658320286802691,0.0287275741331763
2020-12-15,40077,1166,0.681397769827493,0.0285735097915932
2020-12-16,43776,1230,0.698061296820623,0.0288225440025702
2020-12-17,39939,1300,0.719244710856534,0.0287274032376887
2020-12-18,40214,1172,0.735158454828382,0.0294402148555301
2020-12-19,33590,998,0.754410715246275,0.0302969227726989
2020-12-20,29379,786,0.777167550660904,0.0309309389422656
2020-12-21,36644,1109,0.790340007325113,0.0299752458997401
2020-12-22,39422,1372,0.772164433941619,0.0298985845882828
2020-12-23,43203,1379,0.773775910527218,0.029952809486589
2020-12-24,36495,946,0.775963100175007,0.030424387328153
2020-12-25,26496,742,0.788275379612602,0.0307305550137616
2020-12-26,27604,832,0.806243376047789,0.0316145385654393
2020-12-27,24356,746,0.826237836685329,0.0325949127732371
2020-12-28,33139,1073,0.846090719684903,0.0332179464125157
2020-12-29,36735,1491,0.876352650477945,0.0329398773770988
2020-12-30,39934,1496,0.908583647531411,0.0326991230509178
2020-12-31,34176,1009,0.957514563426045,0.0317059664395822
2021-01-01,28647,751,1.01609543647037,0.0306214324900434
2021-01-02,29594,843,1.08034801939149,0.0289795667411309
2021-01-03,30728,723,1.12781737165387,0.027753928314676
2021-01-04,38973,999,1.18974930442742,0.028537021493997
2021-01-05,41913,1249,1.2875034664708,0.0289168316063182
2021-01-06,39394,1182,1.35397674503069,0.0288669354220635
2021-01-07,37378,1291,1.38718515436285,0.0294585118815738
2021-01-08,39690,1164,1.40533433347927,0.0303207423102214
2021-01-09,32880,925,1.4622564528801,0.0306692722271318
2021-01-10,26472,752,1.51495989831012,0.031845478938626
2021-01-11,28639,907,1.56249291901412,0.0325765965300849
2021-01-12,36570,1171,1.5888338712292,0.0341701178423852
2021-01-13,33161,1267,1.6059343969128,0.0357221351228589
2021-01-14,30144,1227,1.61233826400609,0.0373897471946145
2021-01-15,27761,1119,1.66934804832203,0.0382285389186228
2021-01-16,22000,871,1.7290954948063,0.0396420710327512
2021-01-17,16618,725,1.80350735068833,0.0401156362296139
2021-01-18,23578,877,1.8795797064706,0.0406215529231212
2021-01-19,27556,1082,1.9721112737563,0.0406240508761382
2021-01-20,25991,1065,2.07137591775356,0.040534983329221
2021-01-21,23304,1037,2.14690361767223,0.0403860430586488
2021-01-22,22286,897,2.26214848716952,0.0408844054814993
2021-01-23,18728,724,2.41461699448789,0.0411080262845822
2021-01-24,13462,574,2.59922642633555,0.0414189557940695
2021-01-25,18559,749,2.8088977691809,0.0405763322385846
2021-01-26,21024,847,3.06189419877514,0.040609816598288
2021-01-27,20062,864,3.33129484670581,0.0406315016521846
2021-01-28,18025,707,3.58401268454669,0.0405672740628208
2021-01-29,17129,692,4,0.0401226258608561
2021-01-30,14304,547,4,0.0442612326423935
2021-01-31,10698,454,4,0.049580751002552
2021-02-01,13905,509,4,0.0589799414662003
